id,type,organisation_or_authors,title,date,datum_used_in_paper,url_or_doi
cybokataglance,framework,CyBOK,CyBOK at a glance,accessed 2026-09,CyBOK v1.1 (July 2021) remains the latest version,https://www.cybok.org/ataglance/
cybokaikg2023,framework,"Cavallaro L; De Cristofaro E (ed. Schneider S)",Security and Privacy of AI Knowledge Guide v1.0.0,2023-07,Supplementary guide; classical adversarial ML only; no LLM/agentic content,https://www.cybok.org/media/downloads/Security_Privacy_AI_KG_v1.0.0.pdf
cybokaitg2023,framework,"Rhode M (ed. Rashid A)",AI for Security Topic Guide v1.0.0,2023-07,Supplementary guide on AI for defence,https://www.cybok.org/media/downloads/AI_for_Security_TG_v1.0.0.pdf
cyboksupp,framework,CyBOK,Supplementary guides,accessed 2026-09,Guides described as for emerging or less well-established areas; outside core KAs,https://www.cybok.org/supplementaryguides/
cybokmappings2024,framework,CyBOK,Mapping Booklet v2.2,2024,Maps six certifications (CISSP SSCP CISM CRISC BCS PCIRM CREST CPSA); none AI-focused,https://www.cybok.org/media/downloads/CyBOK_MappingBookletv2.2_2024.pdf
dsit2025,labour market,DSIT (Ipsos / Perspective Economics),Cyber security skills in the UK labour market 2025,2025-09,"53% cyber-sector firms use AI day-to-day; 42% any staff trained in AI; 15% of recruiters hired AI skills into a cyber role; 65% expect AI-skills need to rise in 12 months",https://www.gov.uk/government/publications/cyber-security-skills-in-the-uk-labour-market-2025
isc2workforce2025,labour market,ISC2,2025 ISC2 Cybersecurity Workforce Study,2025-12,AI the most pressing skills need (41%) for the second consecutive year,https://www.isc2.org/Insights/2025/12/2025-ISC2-Cybersecurity-Workforce-Study
iappaigp2024,certification,IAPP,AI Governance Professional (AIGP),2024-04,Governance-oriented AI credential; exam launched April 2024,https://iapp.org/about/media/IAPP-Launches-New-AI-Governance-Professional-Certification
isacaaaia2025,certification,ISACA,Advanced in AI Audit (AAIA),2025-05-19,AI audit credential,https://www.isaca.org/about-us/newsroom/press-releases/2025/isaca-launches-groundbreaking-advanced-in-ai-audit-aaia-certification
isacaaaism2025,certification,ISACA,Advanced in AI Security Management (AAISM),2025-08-19,AI security-management credential (governance; risk; technologies and controls),https://www.isaca.org/about-us/newsroom/press-releases/2025/isaca-introduces-first-and-only-ai-centric-security-management-certification
giacai2025,certification,SANS Institute / GIAC,AI-focused GIAC certifications announced,2025-09-09,Technical AI-security certifications; phased roll-out,https://www.giac.org/about/press/announcements/sans-giac-launch-ai-focused-cybersecurity-certifications
comptiasecai2025,certification,CompTIA,SecAI+ (CY0-001) exam objectives,launched 2026-02-17,"Domains: Basic AI concepts 17%; Securing AI systems 40%; AI-assisted security 24%; AI GRC 19%",(exam objectives document; CompTIA)
ncscaiguidelines2023,technical guidance,NCSC and CISA,Guidelines for Secure AI System Development,2023-11,Secure design/development/deployment/operation of AI systems,https://www.ncsc.gov.uk/files/Guidelines-for-secure-AI-system-development.pdf
nistai1002e2025,technical guidance,"Vassilev A; Oprea A; Fordyce A; Anderson H; Davies X; Hamin M (NIST)",Adversarial Machine Learning: A Taxonomy and Terminology of Attacks and Mitigations (NIST AI 100-2e2025),2025-03-24,Taxonomy covering predictive and generative AI incl. direct and indirect prompt injection,https://doi.org/10.6028/NIST.AI.100-2e2025
owaspllm2025,technical guidance,OWASP GenAI Security Project,OWASP Top 10 for LLM Applications 2025,2025,LLM application risk taxonomy,https://owasp.org/www-project-top-10-for-large-language-model-applications/
owaspagentic2025,technical guidance,OWASP GenAI Security Project,OWASP Top 10 for Agentic Applications 2026,2025-12-09,Agentic AI risk taxonomy (ASI01-ASI10),https://genai.owasp.org/resource/owasp-top-10-for-agentic-applications-for-2026/
csamaestro2025,technical guidance,Huang K (Cloud Security Alliance),Agentic AI Threat Modeling Framework: MAESTRO,2025-02-06,Multi-agent threat-modelling framework,https://cloudsecurityalliance.org/blog/2025/02/06/agentic-ai-threat-modeling-framework-maestro
dsitaicode2025,standard/policy,DSIT,Code of Practice for the Cyber Security of AI,2025-01-31,UK AI cyber-security code of practice,https://www.gov.uk/government/publications/ai-cyber-security-code-of-practice
etsi104223,standard/policy,ETSI,ETSI TS 104 223 V1.1.1 Securing Artificial Intelligence; Baseline Cyber Security Requirements for AI Models and Systems,2025-04,Baseline standard derived from the UK code,https://www.etsi.org/deliver/etsi_ts/104200_104299/104223/01.01.01_60/ts_104223v010101p.pdf
iso42001,standard/policy,ISO/IEC,ISO/IEC 42001:2023 AI management system,2023-12,Certifiable AI management-system standard,https://www.iso.org/standard/42001
euaiact2024,standard/policy,European Parliament and Council,Regulation (EU) 2024/1689 (Artificial Intelligence Act) Article 15,2024-07-12 (OJ),Accuracy robustness and cybersecurity obligations for high-risk AI systems,http://data.europa.eu/eli/reg/2024/1689/oj
kaza2025,scholarship,Kaza S et al.,CyberAI: Knowledge Area Frameworks for Cybersecurity Programs in the Age of Artificial Intelligence (ACM SIGCITE 2025),2025-12-27,US NSF/NSA programme developing AI knowledge units; argues established frameworks lack them,https://doi.org/10.1145/3769694.3771142
ukcsc,professional body,NCSC (page on UK Cyber Security Council),About the UK Cyber Security Council,accessed 2026-09,Specialisms for professional registration do not include AI security,https://www.ncsc.gov.uk/organisation/uk-cyber-security-council/about-uk-cyber-security-council
